date,quantity
2015-09-08,4208
2015-09-09,3512
2015-09-10,2443
2015-09-11,12007
2015-09-15,6495
2015-09-16,73976
2015-09-17,386
2015-09-18,7620
2015-09-21,3968
2015-09-22,5418
2015-09-23,1027174
2015-09-24,1
2015-09-25,777
2015-09-28,380
2015-09-29,78571
2015-09-30,69896
2015-10-01,121240
2015-10-02,4614
2015-10-05,1393
2015-10-06,200
2015-10-07,101
2015-10-08,1845
2015-10-09,6055
2015-10-13,2986
2015-10-15,8854
2015-10-16,9884
2015-10-19,42587
2015-10-20,5757
2015-10-21,656851
2015-10-22,4355
2015-10-23,6708
2015-10-26,8979
2015-10-27,1116
2015-10-28,4904
2015-11-02,174171
2015-11-03,49516
2015-11-04,4223
2015-11-05,200
2015-11-06,7820
2015-11-09,291
2015-11-10,70
2015-11-12,46606
2015-11-13,1495
2015-11-16,151
2015-11-17,31512
2015-11-18,4564
2015-11-19,102
2015-11-20,1401
2015-11-23,15232
2015-11-24,280
2015-11-25,3948
2015-11-27,8223
2015-11-30,18798
2015-12-01,181
2015-12-02,1761
2015-12-04,349
2015-12-07,528
2015-12-08,2597
2015-12-09,3484
2015-12-11,389
2015-12-14,1827
2015-12-15,265
2015-12-16,4748
2015-12-17,15758
2015-12-18,1035656
2015-12-21,2682
2015-12-23,1506
2015-12-24,5380
2015-12-28,2190
2015-12-29,3178
2015-12-30,499
2015-12-31,62
2016-01-04,22192
2016-01-05,2832
2016-01-06,231
2016-01-07,2262
2016-01-08,1309
2016-01-12,285
2016-01-13,38500
2016-01-14,3814
